Consumption_Country	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	proportion imported foorprint	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	Population	Threat per capita	imported threats per capita
Venezuela	1098	135	1233	2950.7	0	114	5	119	2	31977065	9.22755E-05	6.25448E-08
Bolivia	485	206	691	1016.6	0	0	0	0	0	11051600	9.19867E-05	0
Saudi Arabia	1289	95	1384	2855.4	0.2	1078	83	1161	444.5	32938213	8.66896E-05	1.3495E-05
Chile	614	112	726	1558.8	0	134	10	144	8.5	18054726	8.63375E-05	4.70791E-07
Libya	401	41	442	521.4	0	161	18	179	6.1	6374616	8.17932E-05	9.5692E-07
Guinea	726	92	818	1035.8	0	1	0	1	0	12717176	8.14489E-05	0
Hong Kong	1924	205	2129	591.9	0.3	1795	188	1983	177.2	7391700	8.00763E-05	2.39728E-05
Benin	538	57	595	884	0	15	2	17	0.3	11175692	7.91002E-05	2.6844E-08
Cameroon	1036	544	1580	1853.2	0	0	0	0	0	24053727	7.70442E-05	0
Yemen	731	128	859	2157.1	0	0	0	0	0	28250420	7.63564E-05	0
South Africa	1874	272	2146	4211.6	0	709	32	741	50.7	56717156	7.42562E-05	8.93909E-07
Guatemala	688	143	831	1209.1	0	154	30	184	5.3	16913503	7.14873E-05	3.13359E-07
Moldova	219	41	260	251.6	0	0	0	0	0	3549750	7.08782E-05	0
Japan	6069	1362	7438	8981.8	0.1	5266	1286	6558	1290.6	126785797	7.08423E-05	1.01794E-05
Kenya	1244	342	1586	3508.5	0	253	17	270	9.6	49699862	7.05938E-05	1.93159E-07
Turkmenistan	228	14	242	399	0	13	3	16	0.2	5758075	6.9294E-05	3.47338E-08
Sudan	770	47	817	2762.6	0	0	0	0	0	40533330	6.81563E-05	0
Tunisia	502	78	580	772.6	0	177	18	195	8.7	11532127	6.69954E-05	7.54414E-07
Hungary	358	86	446	654.8	0	53	6	59	2.8	9781127	6.69453E-05	2.86266E-07
Myanmar	1296	184	1480	3536.7	0	0	0	0	0	53370609	6.62668E-05	0
Tanzania	1516	607	2123	3590.8	0	100	4	104	2.7	57310019	6.26557E-05	4.71122E-08
Rwanda	422	38	460	739.7	0	87	0	87	1.1	12208407	6.05894E-05	9.01018E-08
Czech Republic	369	109	483	635.3	0	155	24	179	6.3	10591323	5.99831E-05	5.94827E-07
Sweden	372	85	468	603.5	0	254	47	305	21.7	10067744	5.99439E-05	2.1554E-06
Romania	560	110	670	1154.6	0	217	22	239	8.9	19586539	5.89486E-05	4.54394E-07
Burundi	324	35	359	617.1	0	0	0	0	0	10864245	5.6801E-05	0
Spain	2423	618	3046	2638.2	0.1	1615	322	1938	182	46572028	5.66477E-05	3.90793E-06
Azerbaijan	273	40	313	552.4	0	3	0	3	0	9862429	5.60105E-05	0
Netherlands	2903	411	3320	947.4	0.4	2861	398	3264	353.7	17132854	5.52973E-05	2.06445E-05
Senegal	582	60	642	839.2	0	10	1	11	0.2	15850567	5.29445E-05	1.26178E-08
Canada	1929	646	2583	1874.6	0.1	1641	593	2237	154.1	36708083	5.10678E-05	4.19799E-06
Belgium	1606	188	1799	578.1	0.2	1527	172	1702	106.4	11372068	5.08351E-05	9.35626E-06
Philippines	1639	205	1844	5278.9	0	262	3	265	5.6	104918090	5.03145E-05	5.3375E-08
Zambia	548	59	607	801.5	0	33	1	34	0.9	17094130	4.68874E-05	5.26497E-08
Kazakhstan	338	47	385	807.1	0	41	2	43	2	18037646	4.47453E-05	1.10879E-07
South Sudan	306	28	334	539.6	0	0	0	0	0	12575714	4.29081E-05	0
Syria	440	48	488	752.2	0	21	0	21	0.4	18269868	4.11716E-05	2.1894E-08
Viet Nam	1763	290	2053	3922.7	0	350	27	377	8.8	95540800	4.10579E-05	9.21072E-08
Iran	810	56	866	3286.2	0	136	0	136	24.6	81162788	4.0489E-05	3.03095E-07
Ghana	756	159	915	1152.7	0	13	1	14	0.2	28833629	3.99776E-05	6.93635E-09
Cote dIvoire	742	145	887	947.8	0	10	0	10	0.2	24294750	3.90125E-05	8.23223E-09
