global_rank	consumption_country	finalsale_country	finalsale_industry	ANIMALIA	PLANTAE	aggregated_finalsale_threat_intensity	finalsale_threat_intensity_proportion	attributed_threat_intensity
341	South Africa	South Africa	Meat products	574	119	155.086377054453	0.98277315716343	152.414728410843
342	Canada	Canada	Wholesale & retail trade, repairs	419	59	151.924551621079	0.999547424214692	151.855794247822
343	Algeria	Algeria	Food & Beverages	251	52	151.5434743613	1	151.5434743613
344	UAE	UAE	Food & Beverages	335	2	170.30841036886	0.88749758340634	151.148302636138
345	Kuwait	Kuwait	fishing	191	0	151.135818764567	1	151.135818764567
346	Rwanda	Rwanda	Food & Beverages	165	13	150.503384426236	1	150.503384426236
347	Chile	Chile	Commercial Services	406	83	149.587662577629	1	149.587662577629
348	Switzerland	Switzerland	Renting of machinery and equipment without operator and of personal and household goods, other business services	296	59	149.536625757813	1	149.536625757813
349	Canada	Canada	Food products, beverages and tobacco	309	124	179.098774977028	0.830623732887649	148.763693027024
350	Zambia	Zambia	Education, Health and Other Services	250	31	148.420922838151	1	148.420922838151
351	Cambodia	Cambodia	Electricity, Gas and Water	361	0	148.297119826078	1	148.297119826078
352	Indonesia	Indonesia	Fish products	957	27	185.238877765834	0.798184659306381	147.854830539819
353	Japan	Japan	Frozen fish and shellfish	741	16	152.949010260403	0.95839188575451	146.585090367754
354	Saudi Arabia	Saudi Arabia	Fishing	444	6	146.423658579588	0.996603467912159	145.926325924803
355	Israel	Israel	Public administration 	451	6	145.875607140362	1	145.875607140362
356	Viet Nam	Viet Nam	Forestry	240	14	152.391421988606	0.957032925226048	145.843608365113
357	Philippines	Philippines	Building construction	774	7	145.575019232929	0.999263562706793	145.467812359806
358	Zambia	Zambia	Food & Beverages	264	27	159.91161262244	0.909128921196872	145.380271870291
359	El Salvador	El Salvador	Construction	172	37	145.201702326536	0.999353445397237	145.107821497568
360	Rwanda	Rwanda	Education, Health and Other Services	305	31	144.760979354382	1	144.760979354382
361	Bulgaria	Bulgaria	Education, Health and Other Services	189	52	144.730534501374	1	144.730534501374
362	Nigeria	Nigeria	Food & Beverages	301	79	145.215503111482	0.996254334441229	144.671574402877
363	Eritrea	Eritrea	Public Administration	497	7	144.552750408649	0.99635023426542	144.025166733369
364	Spain	Spain	Non-residential buildings	445	175	143.885404914618	0.99896406332347	143.736348746449
365	Sierra Leone	Sierra Leone	Construction	226	55	144.477855876088	0.990018687883407	143.035777302653
366	Guyana	Guyana	Education, Health and Other Services	163	33	142.886768385768	1	142.886768385768
367	Austria	Austria	Fish and other fishing products, services incidental of fishing	189	65	162.321978390217	0.876728031958188	142.312228657614
368	Greece	Greece	Products of agriculture, hunting and related services	298	29	154.047441840172	0.921529414179375	141.959248834805
369	Tanzania	Tanzania	Electricity, Gas and Water	383	1	142.248627535999	0.997584263013282	141.90499226515
370	Mali	Mali	Food & Beverages	179	35	141.928803101182	0.99590677391006	141.347856421414
371	USA	USA	Other residential structures	631	204	140.782817155123	1	140.782817155123
372	Thailand	Thailand	Ocean and Coastal Fishing	784	26	155.094364985824	0.907667526491385	140.774118639435
373	Thailand	Thailand	Petroleum and Natural Gas	565	1	139.728693515062	0.998400644871688	139.505217712517
374	Japan	Japan	Inland water fisheries and culture	745	41	156.13769827038	0.88702425637335	138.497925700131
375	Colombia	Colombia	Public administration and defense, direction, control and management od the social security system	621	21	138.49398534745	1	138.49398534745
376	Cyprus	Cyprus	Education, Health and Other Services	235	38	138.317421257496	1	138.317421257496
