Consumption_Country	domestic_consumption	imported_consumption	consumption_proportion	exported_production	net_imported_exported	net_consumption	net_threat_intensity
Colombia	4017.92373870965	359.421013241634	0.0821093684890629	243.532105382532	115.888907859102	4377.34475195128	4133.81264656875
UK	1031.72779478226	3218.4933206439	0.757253148303836	810.912417337298	2407.5809033066	4250.22111542616	3439.30869808886
Peru	3819.35180013161	202.721638989635	0.0504022718774439	367.048885862343	-164.327246872708	4022.07343912125	3655.0245532589
Kenya	3853.20937425364	125.483700610697	0.031538924528622	417.606101386249	-292.122400775552	3978.69307486434	3561.08697347809
Iran	3610.01864379738	347.342136528343	0.0877711575490356	566.858638271689	-219.516501743346	3957.36078032572	3390.50214205403
Venezuela	3468.31563760526	256.966615141369	0.0689790994902223	564.188950847834	-307.222335706465	3725.28225274663	3161.0933018988
South Africa	2980.47101433389	445.452614150941	0.13002409348744	783.020476034842	-337.567861883901	3425.92362848483	2642.90315244999
South Korea	936.081694641151	2296.00770567171	0.710378774005899	371.545310499147	1924.46239517257	3232.08940031286	2860.54408981372
Canada	1747.44162085745	1390.20884086844	0.44307320328592	658.885109449737	731.323731418699	3137.65046172589	2478.76535227615
Turkey	2433.92726098746	647.975670737214	0.210251810356207	159.168184284121	488.807486453094	3081.90293172467	2922.73474744055
Hong Kong	313.771892245859	2700.15862021595	0.895892791506475	278.116450902075	2422.04216931388	3013.93051246181	2735.81406155974
Israel	2770.75947714131	226.821146978065	0.0756680721622626	702.883308736607	-476.062161758542	2997.58062411938	2294.69731538277
Saudi Arabia	1413.71550732478	1247.63548912015	0.468797798857331	489.099212455563	758.536276664585	2661.35099644493	2172.25178398937
Myanmar	2389.20314099733	3.44220127910376	0.00143865921884969	752.314105053432	-748.871903774329	2392.64534227643	1640.331237223
Madagascar	2283.08393073454	74.9376513333991	0.0317798835698866	1267.47964608297	-1192.54199474957	2358.02158206794	1090.54193598498
Greece	2000.77248897217	357.130526334047	0.151461075377465	258.573380871676	98.5571454623714	2357.90301530622	2099.32963443454
Tanzania	2128.0769098755	53.1502132341266	0.0243671154970575	991.650633296929	-938.500420062803	2181.22712310962	1189.57648981269
Switzerland	1336.53917471226	826.929322567768	0.382223879667028	470.9275433328	356.001779234968	2163.46849728003	1692.54095394723
Mozambique	2117.09299529437	27.4712677756324	0.0128097200203768	333.938045284711	-306.466777509078	2144.56426307	1810.62621778529
Portugal	1723.51639916841	375.22964547202	0.178787541460885	456.063396669924	-80.8337511979043	2098.74604464043	1642.68264797051
Somalia	2059.02637409233	3.86275526601821	0.00187249775620259	54.8106704670936	-50.9479152010754	2062.88912935834	2008.07845889125
Sudan	2008.44518023171	3.10286559350789	0.00154252621504498	19.4663749905303	-16.3635093970224	2011.54804582521	1992.08167083468
Serbia	926.440846372396	1082.27097125258	0.538788571738587	0.540016300044954	1081.73095495254	2008.71181762498	2008.17180132493
Egypt	1719.99799803272	142.242594302632	0.0763825012128277	311.623026419431	-169.380432116799	1862.24059233535	1550.61756591592
New Caledonia	1843.35738671105	12.4122429899871	0.00668846110601924	687.410576026887	-674.9983330369	1855.76962970104	1168.35905367415
Cambodia	1769.88328576367	38.2732376167551	0.0211669936323884	715.506603274494	-677.233365657739	1808.15652338043	1092.64992010593
Chile	1548.13914579153	214.040791809559	0.121463641278847	630.117695782334	-416.076903972775	1762.17993760109	1132.06224181876
Papua New Guinea	1723.83259811439	27.4353615352884	0.0156659986749124	1363.10715907346	-1335.67179753818	1751.26795964967	388.16080057621
Eritrea	1704.96139855217	5.15918930340558	0.00301685702168816	151.921774287708	-146.762584984303	1710.12058785558	1558.19881356787
Argentina	1438.31592244096	242.191851595417	0.144118257194194	1019.02785547543	-776.836003880017	1680.50777403638	661.479918560944
Jordan	1547.85720033292	119.382586834021	0.0716049291487232	289.519948728383	-170.137361894362	1667.23978716694	1377.71983843856
Kuwait	1373.84942727163	272.289741510525	0.165411130889966	1287.74285029806	-1015.45310878754	1646.13916878216	358.396318484098
Netherlands	533.748543065973	1080.05323030986	0.66926015829723	364.706380390562	715.346849919297	1613.80177337583	1249.09539298527
Sri Lanka	1460.83415117953	149.111432430334	0.0926189269677008	705.363438894972	-556.252006464638	1609.94558360986	904.582144714892
