Consumption_Country	domestic_trade	international_trade	total_trade	international_trade_proportion
Costa Rica	881.792525544763	86.4636715352535	968.256197080016	0.0892983404557629
Kazakhstan	862.728719512932	105.105582096614	967.834301609546	0.108598736293826
Albania	909.068996414542	32.6843668427318	941.753363257274	0.0347058668627265
Uzbekistan	830.585105010308	106.349360430613	936.934465440921	0.113507789875747
Croatia	818.531585724093	107.761552134529	926.293137858622	0.116336338606209
TFYR Macedonia	881.775357716717	34.1171080153435	915.89246573206	0.0372501241049889
Angola	733.155619055033	172.990635548718	906.146254603751	0.190908073249572
New Zealand	768.989716629498	131.19718375802	900.186900387518	0.14574438230721
Sierra Leone	874.683747439645	17.2694334294647	891.95318086911	0.0193613676142032
Belgium	380.387023990043	511.504581520334	891.891605510376	0.573505321005494
Nicaragua	822.149478347972	37.8186549013481	859.96813324932	0.0439768096504382
Paraguay	816.182132790796	29.2120529012755	845.394185692072	0.034554357476875
Slovakia	716.124537451193	124.894831250422	841.019368701614	0.148504108107804
Bangladesh	711.922642057762	109.069778818637	820.992420876399	0.132851139724538
Guatemala	700.780252633616	111.725174892694	812.50542752631	0.137506989009099
Ghana	781.243416566402	28.624022025615	809.867438592017	0.0353440830704082
French Polynesia	787.562058762647	13.5105391275138	801.072597890161	0.0168655614523545
Czech Republic	602.809686516412	197.271363176405	800.081049692817	0.246564224027235
Iraq	669.419241215102	129.291525389999	798.710766605102	0.16187527550123
Laos	740.518718381412	16.4885879689828	757.007306350395	0.0217812798247296
Dominican Republic	699.436318768188	50.4160717763007	749.852390544489	0.0672346616641338
Ireland	405.513564243913	341.471103132702	746.984667376615	0.457132680289058
Bosnia and Herzegovina	701.293746760115	40.6938541624695	741.987600922585	0.0548443856903686
Cuba	700.539663521573	39.562458159402	740.102121680975	0.0534554043292631
Guinea	724.989758453332	12.9366878224537	737.926446275786	0.0175311345564905
Haiti	717.791881149635	7.77456365246326	725.566444802098	0.0107151642804868
Hungary	626.296045885421	94.3221888532862	720.618234738708	0.130890649592689
Finland	540.758433325216	174.314017244615	715.072450569831	0.24377112711545
