threatened_species	threat_intensity
Pareuchiloglanis longicauda	0.318628162145615
Lutrogale perspicillata	0.318803191184998
Acrossocheilus clivosius	0.318628162145615
Opsarius caudiocellatus	0.318628162145615
Hemibagrus macropterus	0.318628162145615
Schizothorax yunnanensis	0.955928266048431
Anodonta anatina	0.637387573719025
Clanga clanga	0.318715691566467
Anguilla marmorata	0.637256324291229
Limosa limosa	0.318715691566467
Amolops hainanensis	0.31867191195488
Paramesotriton caudopunctatus	0.31867191195488
Liua shihi	0.318628162145615
Huigobio chenhsienensis	0.318628162145615
Mylopharyngodon piceus	0.318628162145615
Leptolalax pelodytoides	0.318715691566467
Rhinocypha drusilla	0.318628162145615
Tor tambroides	0.318628162145615
Beaufortia polylepis	0.318628162145615
Microphysogobio fukiensis	0.318628162145615
Saurogobio immaculatus	0.318628162145615
Parabotia fasciata	0.318628162145615
Paramesotriton chinensis	0.318628162145615
Odorrana schmackeri	0.318628162145615
Cyprinus longzhouensis	0.318628162145615
Discogobio yunnanensis	0.318628162145615
Sinogastromyzon szechuanensis	0.318628162145615
Antigone antigone	0.132401198148727
Hucho taimen	0.318715691566467
Leptobrachium hainanense	0.318715691566467
Megophrys spinata	0.31867191195488
Amolops wuyiensis	0.31867191195488
Lanceolaria grayii	0.318628162145615
Acipenser sinensis	0.31867191195488
Mergus squamatus	0.31867191195488
Oligostachyum shiuyingianum	0.31867191195488
Betula humilis	0.318628162145615
Amolops gerbillus	0.318628162145615
Gyps fulvus	0.132269948720932
Aquila chrysaetos	0.132269948720932
Luciocyprinus langsoni	0.31867191195488
Bangana wui	0.318628162145615
Amolops formosus	0.318628162145615
Acipenser ruthenus	0.318628162145615
Pardofelis marmorata	0.318759441375732
Schizothorax nukiangensis	0.31867191195488
Garra yiliangensis	0.318628162145615
Lethenteron camtschaticum	0.318628162145615
Sieboldius deflexus	0.450898110866547
Nihonogomphus ruptus	0.318628162145615
Sparganium glomeratum	0.318628162145615
Trachypithecus shortridgei	0.31867191195488
Circaetus gallicus	0.132357448339462
Gorsachius magnificus	0.318759441375732
Parafossarulus sungariensis	0.31867191195488
Aonyx cinereus	0.318759441375732
Armillaria ectypa	0.318715691566467
Acrossocheilus beijiangensis	0.318628162145615
Anabarilius qiluensis	0.318628162145615
Anabarilius maculatus	0.318628162145615
Paramesotriton fuzhongensis	0.318628162145615
Leiocassis longirostris	0.318628162145615
Bubo scandiacus	0.132269948720932
Glyptothorax annandalei	0.318628162145615
Anemina arcaeformis	0.318628162145615
Beaufortia cyclica	0.318628162145615
Acrossocheilus rendahli	0.318628162145615
Pelteobagrus argentivittatus	0.318628162145615
Leucogeranus leucogeranus	0.318759441375732
Gnathopogon taeniellus	0.318628162145615
Schistura hingi	0.318628162145615
Ptychidio macrops	0.318628162145615
Hemiculter tchangi	0.318628162145615
Asio flammeus	0.31867191195488
Amolops chunganensis	0.318715691566467
Oryzias sinensis	0.318628162145615
Fejervarya limnocharis	0.318628162145615
Neophocaena asiaeorientalis	0.637387573719025
Calicnemia sinensis	0.637256324291229
Hypophthalmichthys nobilis	0.318628162145615
Hypophthalmichthys molitrix	0.318628162145615
Anguilla borneensis	0.318628162145615
Tainia hongkongensis	0.132357448339462
Amolops viridimaculatus	0.318715691566467
Otis tarda	0.132401198148727
Sinibrama macrops	0.318628162145615
Charadrius alexandrinus	0.63734382390976
Angulyagra boettgeri	0.318628162145615
Gobiobotia tungi	0.318628162145615
Thelypteris palustris	0.31867191195488
Caridina yilong	0.318628162145615
Podiceps nigricollis	0.132313698530197
Parazacco spilurus	0.318628162145615
Elopichthys bambusa	0.318628162145615
Onychostoma lini	0.318628162145615
Anabarilius polylepis	0.31867191195488
Leptobotia elongata	0.318628162145615
Glandirana tientaiensis	0.318628162145615
Circus cyaneus	0.31867191195488
Neosalanx brevirostris	0.31867191195488
Leptobrachium liui	0.31867191195488
Capreolus pygargus	0.318628162145615
Lutra lutra	0.637387573719025
Catopuma temminckii	0.318803191184998
Bangana decorus	0.318628162145615
Ailuropoda melanoleuca	0.132401198148727
Neolissochilus hexagonolepis	0.318715691566467
Tachysurus intermedius	0.318628162145615
Rana omeimontis	0.318628162145615
Tor laterivittatus	0.318628162145615
Macromia macula	0.450898110866547
Leptobrachium boringii	0.318628162145615
Chlorogomphus kitawakii	0.132269948720932
Anotogaster gregoryi	0.31867191195488
Chlorogomphus gracilis	0.450898110866547
Menyanthes trifoliata	0.318628162145615
Chlamydotis macqueenii	0.451116889715195
Megophrys boettgeri	0.318628162145615
Aquila nipalensis	0.132357448339462
Axis porcinus	0.318715691566467
Chlorogomphus montanus	0.450898110866547
Acipenser dabryanus	0.31867191195488
Buteo rufinus	0.132357448339462
Pungitius bussei	0.318628162145615
Cyprinus carpio	0.318628162145615
Neophocaena phocaenoides	0.637300074100494
Triplophysa grahami	0.318628162145615
Amolops monticola	0.31867191195488
Petaurista nobilis	0.318628162145615
Pseudorasbora elongata	0.31867191195488
Cypripedium guttatum	0.132357448339462
Homaloptera yunnanensis	0.318628162145615
Brotia baccata	0.318628162145615
Odorrana hainanensis	0.318715691566467
Fulica atra	0.318628162145615
Pseudogyrinocheilus prochilus	0.31867191195488
Rasbora atridorsalis	0.318628162145615
Neolissochilus baoshanensis	0.318628162145615
Tinca tinca	0.318628162145615
Tetrax tetrax	0.132313698530197
Brachytarsophrys platyparietus	0.31867191195488
Caretta caretta	0.222849443554878
Ichthyophis bannanicus	0.31867191195488
Garra notata	0.318628162145615
Arisaema heterophyllum	0.31867191195488
Rana johnsi	0.318628162145615
Vanmanenia pingchowensis	0.318628162145615
Anabarilius alburnops	0.31867191195488
Oryzias curvinotus	0.31867191195488
Charadrius dubius	0.63734382390976
Scutiger sikimmensis	0.318628162145615
Pangasius sanitwongsei	0.318628162145615
Schizothorax wangchiachii	0.318628162145615
Sinogastromyzon wui	0.318628162145615
Hemibarbus longirostris	0.318628162145615
Squaliobarbus curriculus	0.318628162145615
Pelecanus crispus	0.451029390096664
Garra nujiangensis	0.318628162145615
Glossogobius giuris	0.318628162145615
Amolops daiyunensis	0.31867191195488
Scutiger nyingchiensis	0.318628162145615
Macromia icterica	0.318628162145615
